feature,permutation_importance_mean,permutation_importance_std
wins_diff,0.14300000000000002,0.06364746656387829
ft_pct_diff,0.14200000000000002,0.06193545026880812
drtg_diff,0.11599999999999999,0.056071383075504765
star_injury_flag_diff,0.11599999999999999,0.056071383075504765
dpoy5_diff,0.10800000000000001,0.05600000000000003
ortg_diff,0.05599999999999998,0.05535341001239218
mvp6_diff,0.04899999999999999,0.04998999899979994
finals5_diff,0.038,0.05436910887627275
seed_diff,0.026999999999999996,0.0486929152957594
threept_pct_diff,0.020999999999999998,0.040730823708832596
allstars_diff,0.014999999999999996,0.03570714214271424
titles5_diff,0.0,0.0
twopt_pct_diff,0.0,0.0
