feature,permutation_importance_mean,permutation_importance_std
star_injury_flag_diff,0.105,0.06689544080129828
mvp6_diff,0.04899999999999999,0.04998999899979994
ft_pct_diff,0.04699999999999999,0.04990991885387111
drtg_diff,0.041999999999999996,0.05688585061331157
dpoy5_diff,0.030999999999999993,0.0462493243193887
seed_diff,0.021999999999999992,0.04142463035441595
ortg_diff,0.0,0.0
titles5_diff,0.0,0.0
allstars_diff,0.0,0.0
twopt_pct_diff,0.0,0.0
finals5_diff,0.0,0.0
threept_pct_diff,0.0,0.0
wins_diff,-0.0019999999999999996,0.0373630833845388
